,dataset,funder_value,frequency
0,packard,David and Lucile Packard FoundationThe David & Lucile Packard Foundation,3620
1,packard,NSFNational Science Foundation (NSF),1923
2,packard,Packard FoundationThe David & Lucile Packard Foundation,1488
3,packard,National Science FoundationNational Science Foundation (NSF),1476
4,packard,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS)  Funding Source: NIH RePORTER,687
5,packard,NASANational Aeronautics & Space Administration (NASA),647
6,packard,NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,579
7,packard,Alfred P. Sloan FoundationAlfred P. Sloan Foundation,552
8,packard,,515
9,packard,David and Lucille Packard FoundationThe David & Lucile Packard Foundation,496
10,packard,National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,452
11,packard,Gordon and Betty Moore FoundationGordon and Betty Moore Foundation,426
12,packard,Packard FellowshipThe David & Lucile Packard Foundation,373
13,packard,Direct For Mathematical & Physical ScienNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS)  Funding Source: National Science Foundation,353
14,packard,Lucile Packard Foundation for Children's Health,254
15,packard,NATIONAL CANCER INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI)  Funding Source: NIH RePORTER,209
16,packard,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)  Funding Source: NIH RePORTER,202
17,packard,National Aeronautics and Space AdministrationNational Aeronautics & Space Administration (NASA),193
18,packard,Division Of Astronomical SciencesNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS)  Funding Source: National Science Foundation,188
19,packard,David & Lucile Packard FoundationThe David & Lucile Packard Foundation,179
20,packard,Simons Foundation,176
21,packard,National Science Foundation (NSF)National Science Foundation (NSF),174
22,packard,Science and Technology Facilities CouncilUK Research & Innovation (UKRI)Science & Technology Facilities Council (STFC)  Funding Source: researchfish,172
23,packard,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)  Funding Source: NIH RePORTER",166
24,packard,Office of Naval ResearchOffice of Naval Research,159
25,packard,NATIONAL CENTER FOR RESEARCH RESOURCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)  Funding Source: NIH RePORTER,156
26,packard,U.S. Department of EnergyUnited States Department of Energy (DOE),150
27,packard,Burroughs Wellcome FundBurroughs Wellcome Fund,146
28,packard,"OFFICE OF THE DIRECTOR, NATIONAL INSTITUTES OF HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA  Funding Source: NIH RePORTER",140
29,packard,Howard Hughes Medical InstituteHoward Hughes Medical Institute,136
30,packard,Army Research Office,135
31,packard,Australian Research CouncilAustralian Research Council,134
32,packard,W. M. Keck FoundationW.M. Keck Foundation,132
33,packard,DOEUnited States Department of Energy (DOE),130
34,packard,David and Lucile Packard FellowshipThe David & Lucile Packard Foundation,130
35,packard,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,128
36,packard,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK)  Funding Source: NIH RePORTER,128
37,packard,US National Science FoundationNational Science Foundation (NSF),123
38,packard,Sloan FoundationAlfred P. Sloan Foundation,122
